,country,continent,year,happiness
198,Iraq,Asia,2006,
199,Bangladesh,Asia,2006,43.2
200,Cambodia,Asia,2006,35.7
201,Japan,Asia,2006,
202,Israel,Asia,2006,71.7
203,Turkey,Asia,2006,
204,Lebanon,Asia,2006,46.5
205,Malaysia,Asia,2006,60.1
206,Maldives,Asia,2006,
207,Mongolia,Asia,2006,
208,Nepal,Asia,2006,45.7
209,Oman,Asia,2006,
210,Pakistan,Asia,2006,
211,Philippines,Asia,2006,46.7
212,Qatar,Asia,2006,
213,Saudi Arabia,Asia,2006,
214,Singapore,Asia,2006,64.6
215,Sri Lanka,Asia,2006,43.4
216,Syria,Asia,2006,
217,Tajikistan,Asia,2006,46.1
218,Kazakhstan,Asia,2006,54.8
219,Tanzania,Africa,2006,39.2
220,Thailand,Asia,2006,58.9
221,Sudan,Africa,2006,
222,Turkmenistan,Asia,2006,
223,Vietnam,Asia,2006,52.9
224,Yemen,Asia,2006,
225,Albania,Europe,2006,
226,Armenia,Europe,2006,42.9
227,Austria,Europe,2006,71.2
228,Azerbaijan,Europe,2006,47.3
229,Belarus,Europe,2006,56.6
230,Belgium,Europe,2006,
231,Bosnia and Herzegovina,Europe,2006,
232,Bulgaria,Europe,2006,
233,Croatia,Europe,2006,
234,Cyprus,Europe,2006,62.4
235,Czech Republic,Europe,2006,
236,Denmark,Europe,2006,
237,Finland,Europe,2006,76.7
238,Poland,Europe,2006,
239,Romania,Europe,2006,
240,Estonia,Europe,2006,53.7
241,France,Europe,2006,65.8
242,Georgia,Europe,2006,36.8
243,Germany,Europe,2006,
244,Greece,Europe,2006,
245,Hungary,Europe,2006,
246,Iceland,Europe,2006,
247,Italy,Europe,2006,
248,United Arab Emirates,Asia,2006,67.3
249,Lithuania,Europe,2006,59.5
250,Luxembourg,Europe,2006,
251,Malta,Europe,2006,
252,Moldova,Europe,2006,51.0
253,Montenegro,Europe,2006,
254,Netherlands,Europe,2006,
255,Norway,Europe,2006,74.2
256,Latvia,Europe,2006,47.1
257,Uzbekistan,Asia,2006,52.3
258,Mexico,North America,2006,
259,Ireland,Europe,2006,71.4
260,Slovenia,Europe,2006,58.1
261,Sweden,Europe,2006,
262,Switzerland,Europe,2006,74.7
263,Ukraine,Europe,2006,48.0
264,United Kingdom,Europe,2006,
265,Belize,North America,2006,
266,Canada,North America,2006,
267,Costa Rica,North America,2006,70.8
268,Cuba,North America,2006,54.2
269,Dominican Republic,North America,2006,50.9
270,El Salvador,North America,2006,57.0
271,Guatemala,North America,2006,59.0
272,Haiti,North America,2006,37.5
273,Honduras,North America,2006,54.0
274,Jamaica,North America,2006,62.1
275,Serbia,Europe,2006,
276,Spain,Europe,2006,
277,Nicaragua,North America,2006,44.6
278,Portugal,Europe,2006,54.1
279,Trinidad and Tobago,North America,2006,58.3
280,Panama,North America,2006,61.3
281,Australia,Australia and Oceania,2006,
282,New Zealand,Australia and Oceania,2006,73.1
283,Argentina,South America,2006,63.1
284,Bolivia,South America,2006,53.7
285,Chile,South America,2006,60.6
286,United States,North America,2006,71.8
287,Brazil,South America,2006,
288,Guyana,South America,2006,
289,Paraguay,South America,2006,47.3
290,Peru,South America,2006,48.1
291,Suriname,South America,2006,
292,Uruguay,South America,2006,57.9
293,Venezuela,South America,2006,65.3
294,Ecuador,South America,2006,50.2
295,Colombia,South America,2006,60.2
296,Cameroon,Africa,2007,43.5
297,Algeria,Africa,2007,
298,Angola,Africa,2007,
299,Benin,Africa,2007,
300,Botswana,Africa,2007,
301,Burundi,Africa,2007,
302,Central African Republic,Africa,2007,41.6
303,Gambia,Africa,2007,
304,Comoros,Africa,2007,
305,Djibouti,Africa,2007,
306,Egypt,Africa,2007,55.4
307,Ethiopia,Africa,2007,
308,Gabon,Africa,2007,
309,Thailand,Asia,2007,57.8
310,Chad,Africa,2007,41.4
311,Ghana,Africa,2007,52.2
312,Niger,Africa,2007,42.8
313,Kenya,Africa,2007,45.8
314,Tajikistan,Asia,2007,44.3
315,Libya,Africa,2007,
316,Madagascar,Africa,2007,
317,Malawi,Africa,2007,48.9
318,Mali,Africa,2007,
319,Mauritania,Africa,2007,41.5
320,Mauritius,Africa,2007,
321,Guinea,Africa,2007,
322,Lesotho,Africa,2007,
323,Namibia,Africa,2007,48.9
324,Somalia,Africa,2007,
325,Nigeria,Africa,2007,48.9
326,Rwanda,Africa,2007,
327,Senegal,Africa,2007,46.8
328,Sierra Leone,Africa,2007,35.9
329,Mozambique,Africa,2007,48.3
330,Morocco,Africa,2007,
331,South Africa,Africa,2007,52.0
332,Mongolia,Asia,2007,46.1
333,Sudan,Africa,2007,
334,Togo,Africa,2007,
335,Tunisia,Africa,2007,
336,Uganda,Africa,2007,44.6
337,Zambia,Africa,2007,40.0
338,Zimbabwe,Africa,2007,32.8
339,Afghanistan,Asia,2007,
340,Bahrain,Asia,2007,
341,Tanzania,Africa,2007,43.2
342,Bhutan,Asia,2007,
343,Cambodia,Asia,2007,41.6
344,China,Asia,2007,48.6
345,India,Asia,2007,50.3
346,Indonesia,Asia,2007,51.0
347,Iran,Asia,2007,53.4
348,Turkey,Asia,2007,56.2
349,Israel,Asia,2007,68.4
350,Liberia,Africa,2007,37.0
351,Iraq,Asia,2007,
352,Japan,Asia,2007,62.4
353,Kazakhstan,Asia,2007,57.2
354,Kuwait,Asia,2007,
355,Lebanon,Asia,2007,
356,Malaysia,Asia,2007,62.4
357,Maldives,Asia,2007,
358,Nepal,Asia,2007,47.5
359,Oman,Asia,2007,
360,Pakistan,Asia,2007,56.7
361,Philippines,Asia,2007,50.7
362,Qatar,Asia,2007,
363,Saudi Arabia,Asia,2007,72.7
364,Singapore,Asia,2007,68.3
365,Sri Lanka,Asia,2007,44.1
366,South Sudan,Africa,2007,
367,Bangladesh,Asia,2007,46.1
368,Syria,Asia,2007,
369,Jordan,Asia,2007,56.0
370,Jamaica,North America,2007,
371,Venezuela,South America,2007,
372,Uzbekistan,Asia,2007,
373,Vietnam,Asia,2007,54.2
374,Yemen,Asia,2007,44.8
375,Albania,Europe,2007,46.3
376,Armenia,Europe,2007,48.8
377,Austria,Europe,2007,
378,Estonia,Europe,2007,53.3
379,Finland,Europe,2007,
380,Belgium,Europe,2007,72.2
381,Poland,Europe,2007,58.9
382,Bulgaria,Europe,2007,38.4
383,Croatia,Europe,2007,58.2
384,Cyprus,Europe,2007,
385,Czech Republic,Europe,2007,65.0
386,Azerbaijan,Europe,2007,45.7
387,Bosnia and Herzegovina,Europe,2007,49.0
388,France,Europe,2007,
389,Lithuania,Europe,2007,58.1
390,Nicaragua,North America,2007,49.4
391,Italy,Europe,2007,65.7
392,Germany,Europe,2007,64.2
393,Greece,Europe,2007,66.5
