seat_type,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi service,rating
Business Class,3.3131578947368423,2.737327188940092,2.93717277486911,2.6446700507614214,2.3653846153846154,4.868020304568528
Economy Class,3.0560271646859083,2.616822429906542,2.6185064935064934,2.4162826420890937,1.9477611940298507,3.989247311827957
First Class,3.6923076923076925,2.9148936170212765,3.2115384615384617,2.981132075471698,1.8823529411764706,5.679245283018868
Premium Economy,3.1354166666666665,2.929411764705882,2.979381443298969,2.588235294117647,2.4375,4.519607843137255
